Cluster Index	Z	x	y	z	
4	5.19	48	18	4
4	3.92	36	16	-12
4	3.91	48	16	14
4	3.88	30	30	0
4	3.83	30	20	-8
4	3.81	50	10	10
3	4.81	-44	14	-2
3	4.37	-50	16	0
3	4.31	-28	28	-2
3	4.23	-28	20	-14
3	4.06	-44	6	-2
3	4.05	-32	28	4
2	4.39	-6	12	52
2	4.17	-2	14	46
2	4.04	8	22	36
2	4.02	-4	34	26
2	3.71	4	22	38
2	3.42	-4	24	34
1	4.25	-2	-22	2
1	4.08	4	-36	-36
1	3.94	4	-22	2
1	3.91	10	-24	-12
1	3.77	-2	-22	-32
1	3.58	16	-22	8
