Cluster Index	Z	x	y	z	
6	5.18	10	-90	-8
6	4.45	18	-90	-6
6	4.38	32	-76	-20
6	4.15	22	-84	-8
6	3.99	8	-98	14
6	3.88	40	-70	-14
5	4.02	-26	-80	-18
5	3.94	-30	-82	6
5	3.89	-40	-34	-20
5	3.78	-22	-40	6
5	3.78	-54	-74	10
5	3.65	-30	-84	-18
4	4.53	20	18	-10
4	4.52	10	26	2
4	4.49	-10	24	8
4	4.32	-8	26	2
4	3.88	12	14	-8
4	3.8	18	12	-10
3	4.78	-42	-20	64
3	4.73	-42	-24	62
3	4.63	-38	-22	62
3	4.23	-44	-30	60
3	3.96	-42	-38	62
3	3.83	-38	-26	56
2	4.34	18	-38	18
2	3.78	6	-34	10
2	3.29	46	-64	8
2	3.28	38	-58	12
2	3.18	38	-44	10
2	3.11	32	-60	4
1	3.82	-58	-34	22
1	3.71	-52	-22	12
1	3.56	-58	-22	14
1	3.45	-60	-22	20
1	3.42	-52	-22	20
1	3.36	-46	-26	12
