Cluster Index	Z	x	y	z	
4	3.9	-8	46	30
4	3.5	-10	54	30
4	3.35	-2	24	18
4	3.28	-14	56	30
4	3.22	-10	24	28
4	3.21	2	26	18
3	4.09	48	16	0
3	3.98	46	20	-2
3	3.6	50	18	8
3	3.46	36	16	-12
3	3.44	40	18	2
3	3.25	28	18	-16
2	3.64	-32	28	4
2	3.55	-40	14	-2
2	3.48	-42	12	-6
2	3.39	-26	30	2
2	3.34	-46	18	0
2	3.29	-30	26	-14
1	3.9	-6	-28	-26
1	3.67	-6	-20	-32
1	3.5	10	-30	-26
1	3.48	6	-24	-30
1	3.44	8	-24	-8
1	3.23	4	-26	-40
