Cluster Index	Z	x	y	z	
3	6.69	-8	-88	-8
3	6.66	-6	-84	-4
3	6.65	-4	-82	-8
3	6.52	-6	-84	-12
3	6.43	-16	-88	-10
3	6.2	-20	-84	-10
2	5.34	-46	-16	50
2	4.11	-32	12	30
2	3.97	-38	8	34
2	3.87	-42	2	38
2	3.71	-34	16	30
2	3.7	-38	18	22
1	4.7	22	-94	-4
1	4.45	28	-98	-2
1	4.19	32	-90	2
1	4.17	30	-86	-2
1	4.05	34	-90	-6
1	3.92	28	-96	4
