Cluster Index	Z	x	y	z	
4	4.82	28	-70	34
4	4.73	-26	-64	50
4	4.4	32	-64	32
4	4.38	30	-64	36
4	4.34	-30	-72	22
4	4.32	16	-64	24
3	4.09	4	-8	4
3	4.01	-12	-22	-14
3	3.96	4	-28	-2
3	3.96	6	-28	-12
3	3.82	-4	-28	-12
3	3.8	-4	-20	-16
2	4.48	-46	8	26
2	4.28	-36	0	22
2	3.95	-36	0	32
2	3.71	-42	14	30
2	3.7	-36	16	24
2	3.58	-34	16	32
1	3.72	-58	-56	8
1	3.64	-54	-58	10
1	3.45	-52	-58	18
1	3.28	-54	-50	8
1	2.88	-46	-52	22
1	2.85	-54	-60	0
